FLY_GENE1	FLY_GENE2	REFERENCE	DATE_LAST_UPDATED	DATA_VERSION	REFERENCEURL	SYMBOL_BD	SYMBOL_AD	INTERACTION_TYPE	INTERACTION_DETECT_METHODS
FBgn0003997	FBgn0015946	FBrf0105960	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0105960	hid	grim	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0003997	FBgn0243512	FBrf0180124	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0180124	hid	puc	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0003997	FBgn0003444	FBrf0220518	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0220518	hid	smo	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0003997	FBgn0262447	FBrf0158821	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0158821	hid	mir-14	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0003997	FBgn0015774	"FBrf0221149, FBrf0221149"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0221149, FBrf0221149"	hid	NetB	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0003997	FBgn0261456	"FBrf0167938, FBrf0167939, FBrf0167603, FBrf0167603"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0167938, FBrf0167939, FBrf0167603, FBrf0167603"	hid	hpo	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004034	FBgn0003567	"FBrf0104405, FBrf0102926, FBrf0158899, FBrf0190762, FBrf0093460, FBrf0056118, FBrf0093460, FBrf0158899, FBrf0207340, FBrf0088296, FBrf0057277, FBrf0134843, unattributed, FBrf0020044, FBrf0091383, FBrf0160557, FBrf0083144, FBrf0190724, FBrf0195007, FBrf0050555, FBrf0064493, FBrf0147065, FBrf0086415, FBrf0213027"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0104405, FBrf0102926, FBrf0158899, FBrf0190762, FBrf0093460, FBrf0056118, FBrf0093460, FBrf0158899, FBrf0207340, FBrf0088296, FBrf0057277, FBrf0134843, unattributed, FBrf0020044, FBrf0091383, FBrf0160557, FBrf0083144, FBrf0190724, FBrf0195007, FBrf0050555, FBrf0064493, FBrf0147065, FBrf0086415, FBrf0213027"	y	su(Hw)	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004034	FBgn0004861	"FBrf0109352, FBrf0104732"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0109352, FBrf0104732"	y	ph-p	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004034	FBgn0000618	FBrf0050555	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0050555	y	e(y)2	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004034	FBgn0002781	"FBrf0083144, FBrf0086415, FBrf0093460, FBrf0093387, FBrf0205475, FBrf0099893, FBrf0147059, FBrf0102926, FBrf0050555, FBrf0100803, FBrf0160659, FBrf0082023, FBrf0201774, FBrf0193462, FBrf0191177, FBrf0056118"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0083144, FBrf0086415, FBrf0093460, FBrf0093387, FBrf0205475, FBrf0099893, FBrf0147059, FBrf0102926, FBrf0050555, FBrf0100803, FBrf0160659, FBrf0082023, FBrf0201774, FBrf0193462, FBrf0191177, FBrf0056118"	y	mod(mdg4)	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004034	FBgn0267351	FBrf0191177	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0191177	y	Topors	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004034	FBgn0003567	"FBrf0104405, FBrf0102926, FBrf0158899, FBrf0190762, FBrf0093460, FBrf0056118, FBrf0093460, FBrf0158899, FBrf0207340, FBrf0088296, FBrf0057277, FBrf0134843, unattributed, FBrf0020044, FBrf0091383, FBrf0160557, FBrf0083144, FBrf0190724, FBrf0195007, FBrf0050555, FBrf0064493, FBrf0147065, FBrf0086415, FBrf0213027"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0104405, FBrf0102926, FBrf0158899, FBrf0190762, FBrf0093460, FBrf0056118, FBrf0093460, FBrf0158899, FBrf0207340, FBrf0088296, FBrf0057277, FBrf0134843, unattributed, FBrf0020044, FBrf0091383, FBrf0160557, FBrf0083144, FBrf0190724, FBrf0195007, FBrf0050555, FBrf0064493, FBrf0147065, FBrf0086415, FBrf0213027"	y	su(Hw)	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004034	FBgn0000617	"FBrf0108279, FBrf0050555"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0108279, FBrf0050555"	y	e(y)1	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004034	FBgn0002781	"FBrf0083144, FBrf0086415, FBrf0093460, FBrf0093387, FBrf0205475, FBrf0099893, FBrf0147059, FBrf0102926, FBrf0050555, FBrf0100803, FBrf0160659, FBrf0082023, FBrf0201774, FBrf0193462, FBrf0191177, FBrf0056118"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0083144, FBrf0086415, FBrf0093460, FBrf0093387, FBrf0205475, FBrf0099893, FBrf0147059, FBrf0102926, FBrf0050555, FBrf0100803, FBrf0160659, FBrf0082023, FBrf0201774, FBrf0193462, FBrf0191177, FBrf0056118"	y	mod(mdg4)	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004034	FBgn0015602	FBrf0192350	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0192350	y	BEAF-32	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004034	FBgn0087008	FBrf0050555	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0050555	y	e(y)3	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004034	FBgn0037831	FBrf0206308	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0206308	y	Cap-H2	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004034	FBgn0000622	FBrf0050555	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0050555	y	e(y)6	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004034	FBgn0003575	FBrf0055001	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0055001	y	su(sable)	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004034	FBgn0000283	FBrf0212850	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0212850	y	Cp190	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004034	FBgn0284220	FBrf0213027	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0213027	y	Top2	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004034	FBgn0000527	FBrf0146983	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0146983	y	e	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004049	FBgn0002175	FBrf0234100	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0234100	yrt	chem	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004050	FBgn0260789	FBrf0080370	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0080370	z	mxc	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004050	FBgn0005278	"FBrf0083251, FBrf0026500"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0083251, FBrf0026500"	z	Sam-S	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004050	FBgn0000629	"unattributed, FBrf0026500, FBrf0051932, FBrf0064533, FBrf0051932, FBrf0050577, FBrf0068635"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/unattributed, FBrf0026500, FBrf0051932, FBrf0064533, FBrf0051932, FBrf0050577, FBrf0068635"	z	E(z)	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004050	FBgn0265623	"FBrf0082794, FBrf0215463, FBrf0054127, FBrf0051927, FBrf0026500, FBrf0050577"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0082794, FBrf0215463, FBrf0054127, FBrf0051927, FBrf0026500, FBrf0050577"	z	Su(z)2	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0003997	FBgn0086785	FBrf0206508	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0206508	hid	Vps36	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004050	FBgn0000629	"unattributed, FBrf0026500, FBrf0051932, FBrf0064533, FBrf0051932, FBrf0050577, FBrf0068635"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/unattributed, FBrf0026500, FBrf0051932, FBrf0064533, FBrf0051932, FBrf0050577, FBrf0068635"	z	E(z)	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004050	FBgn0003646	FBrf0026500	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0026500	z	Su(z)4	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004050	FBgn0003334	"FBrf0104734, FBrf0086923"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0104734, FBrf0086923"	z	Scm	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004050	FBgn0087008	FBrf0080045	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0080045	z	e(y)3	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004050	FBgn0003996	"FBrf0084074, FBrf0042644"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0084074, FBrf0042644"	z	w	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004050	FBgn0000618	FBrf0080045	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0080045	z	e(y)2	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004050	FBgn0003648	FBrf0026500	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0026500	z	Su(z)7	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004050	FBgn0005624	"FBrf0054127, FBrf0058093, FBrf0082794, FBrf0051927"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0054127, FBrf0058093, FBrf0082794, FBrf0051927"	z	Psc	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004050	FBgn0003647	FBrf0026500	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0026500	z	Su(z)6	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004050	FBgn0003607	FBrf0084074	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0084074	z	Su(var)205	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004050	FBgn0000617	FBrf0080045	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0080045	z	e(y)1	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004052	FBgn0010382	FBrf0202415	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0202415	Z600	CycE	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004101	FBgn0052296	FBrf0180628	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0180628	bs	Mrtf	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004101	FBgn0086384	FBrf0136951	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0136951	bs	Mer	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004101	FBgn0000382	FBrf0129810	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0129810	bs	csw	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004101	FBgn0004635	FBrf0073104	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0073104	bs	rho	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004101	FBgn0263118	FBrf0213026	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0213026	bs	tx	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004101	FBgn0266711	FBrf0223250	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0223250	bs	EloC	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004101	FBgn0042085	FBrf0211845	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0211845	bs	Bap170	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004101	FBgn0000575	FBrf0107601	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0107601	bs	emc	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004101	FBgn0000212	FBrf0174517	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0174517	bs	brm	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004101	FBgn0004657	FBrf0073104	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0073104	bs	mys	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004101	FBgn0261885	FBrf0208056	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0208056	bs	osa	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004102	FBgn0266450	FBrf0218313	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0218313	oc	Kr-h1	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004103	FBgn0000711	FBrf0202083	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0202083	Pp1-87B	flw	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004103	FBgn0003134	FBrf0202083	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0202083	Pp1-87B	Pp1α-96A	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004106	FBgn0000404	FBrf0108196	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0108196	Cdk1	CycA	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004106	FBgn0004052	FBrf0202415	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0202415	Cdk1	Z600	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004106	FBgn0000405	FBrf0223715	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0223715	Cdk1	CycB	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004106	FBgn0010314	FBrf0187485	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0187485	Cdk1	Cks30A	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004107	FBgn0003256	FBrf0234960	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0234960	Cdk2	rl	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004108	FBgn0264975	FBrf0100805	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0100805	Nrt	Nrg	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004110	FBgn0025467	"FBrf0104504, FBrf0103346"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0104504, FBrf0103346"	tin	tin::Mmus\Nkx2-5	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004110	FBgn0004606	FBrf0131289	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0131289	tin	zfh1	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004133	FBgn0011771	FBrf0180145	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0180145	blow	Hem	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004167	FBgn0086356	"FBrf0213021, FBrf0213021"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0213021, FBrf0213021"	kst	tum	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004167	FBgn0259685	"FBrf0147164, FBrf0152113"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0147164, FBrf0152113"	kst	crb	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004167	FBgn0024277	"FBrf0213021, FBrf0213021"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0213021, FBrf0213021"	kst	trio	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004167	FBgn0024277	"FBrf0213021, FBrf0213021"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0213021, FBrf0213021"	kst	trio	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004167	FBgn0086356	"FBrf0213021, FBrf0213021"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0213021, FBrf0213021"	kst	tum	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004167	FBgn0267698	FBrf0213021	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0213021	kst	Pak	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004169	FBgn0264695	"FBrf0158994, FBrf0201976"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0158994, FBrf0201976"	up	Mhc	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004169	FBgn0004117	FBrf0137030	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0137030	up	Tm2	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0003567	"FBrf0108187, FBrf0050555, FBrf0131295, FBrf0160557, FBrf0108187, FBrf0160557, FBrf0020044"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0108187, FBrf0050555, FBrf0131295, FBrf0160557, FBrf0108187, FBrf0160557, FBrf0020044"	sc	su(Hw)	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0000022	"FBrf0190143, FBrf0167657"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0190143, FBrf0167657"	sc	ac	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0002734	FBrf0155707	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0155707	sc	E(spl)mδ-HLH	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0001981	FBrf0235373	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0235373	sc	esg	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0020060	FBrf0084943	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0084943	sc	E(spl)m8-HLH::h	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0002781	"FBrf0108187, FBrf0160557, FBrf0160557, FBrf0099893"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0108187, FBrf0160557, FBrf0160557, FBrf0099893"	sc	mod(mdg4)	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0264270	"FBrf0167657, FBrf0051358"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0167657, FBrf0051358"	sc	Sxl	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0004050	FBrf0091060	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0091060	sc	z	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0003577	FBrf0056191	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0056191	sc	su(sc)r	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0000617	FBrf0091060	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0091060	sc	e(y)1	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0010109	FBrf0084726	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0084726	sc	dpn	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0000575	"FBrf0055045, FBrf0055045"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0055045, FBrf0055045"	sc	emc	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0002573	"FBrf0129996, FBrf0223740, FBrf0190299, FBrf0190299"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0129996, FBrf0223740, FBrf0190299, FBrf0190299"	sc	sens	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0003499	FBrf0179495	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0179495	sc	sr	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0002573	"FBrf0129996, FBrf0223740, FBrf0190299, FBrf0190299"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0129996, FBrf0223740, FBrf0190299, FBrf0190299"	sc	sens	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0003567	"FBrf0108187, FBrf0050555, FBrf0131295, FBrf0160557, FBrf0108187, FBrf0160557, FBrf0020044"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0108187, FBrf0050555, FBrf0131295, FBrf0160557, FBrf0108187, FBrf0160557, FBrf0020044"	sc	su(Hw)	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0002735	FBrf0155707	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0155707	sc	E(spl)mγ-HLH	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0003896	FBrf0212072	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0212072	sc	tup	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0002781	"FBrf0108187, FBrf0160557, FBrf0160557, FBrf0099893"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0108187, FBrf0160557, FBrf0160557, FBrf0099893"	sc	mod(mdg4)	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0001168	"FBrf0084943, FBrf0058096"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0084943, FBrf0058096"	sc	h	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0000042	FBrf0223751	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0223751	sc	Act5C	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0267821	FBrf0223751	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0223751	sc	da	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0002633	FBrf0155707	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0155707	sc	E(spl)m7-HLH	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0000022	"FBrf0190143, FBrf0167657"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0190143, FBrf0167657"	sc	ac	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0087008	FBrf0091060	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0091060	sc	e(y)3	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0262373	FBrf0223740	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0223740	sc	mir-9a	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0000575	"FBrf0055045, FBrf0055045"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0055045, FBrf0055045"	sc	emc	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0014018	FBrf0210269	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0210269	sc	Rel	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0000137	FBrf0212118	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0212118	sc	ase	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0015371	FBrf0183920	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0183920	sc	chn	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0013764	FBrf0212072	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0212072	sc	Chi	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0005636	FBrf0190182	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0190182	sc	nvy	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0264922	FBrf0218761	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0218761	sc	smt3	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004170	FBgn0000547	FBrf0167521	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0167521	sc	ed	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004177	FBgn0002973	"FBrf0208148, FBrf0213702"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0208148, FBrf0213702"	mts	numb	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004177	FBgn0042693	FBrf0193166	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0193166	mts	wrd	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0004177	FBgn0003124	FBrf0208148	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0208148	mts	polo	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004179	FBgn0013343	FBrf0111989	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0111989	Csp	Syx1A	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0004179	FBgn0266599	"FBrf0137066, FBrf0101634"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0137066, FBrf0101634"	Csp	Hsc70-4	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0003862	FBgn0027655	FBrf0227101	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0227101	trx	htt	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0003862	FBgn0000233	FBrf0226697	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0226697	trx	btd	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0003862	FBgn0266711	FBrf0223250	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0223250	trx	EloC	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0003862	FBgn0011715	FBrf0083116	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0083116	trx	Snr1	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0003862	FBgn0037659	FBrf0215737	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0215737	trx	Kdm2	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0003862	FBgn0039066	FBrf0223250	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0223250	trx	EloA	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0003862	FBgn0266599	"FBrf0135926, FBrf0135926"	29-Aug-18	DroID_v2018_08	"http://flybase.org/reports/FBrf0135926, FBrf0135926"	trx	Hsc70-4	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0003862	FBgn0020306	FBrf0134570	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0134570	trx	dom	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0003862	FBgn0261823	FBrf0108941	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0108941	trx	Asx	enhanceable	psi-mi:MI0208(genetic interaction)
FBgn0003865	FBgn0003463	FBrf0127408	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0127408	tsg	sog	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0003866	FBgn0026597	FBrf0190272	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0190272	tsh	Axn	suppressible	psi-mi:MI0208(genetic interaction)
FBgn0003866	FBgn0016977	FBrf0112078	29-Aug-18	DroID_v2018_08	http://flybase.org/reports/FBrf0112078	tsh	spen	enhanceable	psi-mi:MI0208(genetic interaction)
